Farm ID;Nivel riesgo deforestación desde oficina;Fase resultado
1671;Riesgo despreciable desde oficina;Fase 2
2112;Riesgo despreciable desde oficina;Fase 2
2123;Riesgo despreciable desde oficina;Fase 2
2148;Riesgo despreciable desde oficina;Fase 2
2155;Riesgo despreciable desde oficina;Fase 2
2306;Riesgo despreciable desde oficina;Fase 2
2318;Riesgo no despreciable desde oficina;Fase 3
2334;Riesgo despreciable desde oficina;Fase 2
2352;Riesgo despreciable desde oficina;Fase 2
2364;Riesgo despreciable desde oficina;Fase 2
2440;Riesgo despreciable desde oficina;Fase 2
2566;Riesgo despreciable desde oficina;Fase 2
2590;Riesgo despreciable desde oficina;Fase 2
2636;Riesgo despreciable desde oficina;Fase 2
2663;Riesgo despreciable desde oficina;Fase 2
2669;Riesgo despreciable desde oficina;Fase 2
2673;Riesgo despreciable desde oficina;Fase 2
2709;Riesgo despreciable desde oficina;Fase 2
2729;Riesgo despreciable desde oficina;Fase 2
2746;Riesgo despreciable desde oficina;Fase 2
2821;Riesgo despreciable desde oficina;Fase 2
2830;Riesgo despreciable desde oficina;Fase 2
2911;Riesgo despreciable desde oficina;Fase 2
2991;Riesgo despreciable desde oficina;Fase 2
3074;Riesgo despreciable desde oficina;Fase 2
3174;Riesgo despreciable desde oficina;Fase 2
3197;Riesgo despreciable desde oficina;Fase 2
3200;Riesgo despreciable desde oficina;Fase 2
3330;Riesgo no despreciable desde oficina;Fase 3
3396;Riesgo despreciable desde oficina;Fase 2
3442;Riesgo despreciable desde oficina;Fase 2
3500;Riesgo despreciable desde oficina;Fase 2
3502;Riesgo despreciable desde oficina;Fase 2
3580;Riesgo despreciable desde oficina;Fase 2
3587;Riesgo despreciable desde oficina;Fase 2
3730;Riesgo no despreciable desde oficina;Fase 3
3747;Riesgo despreciable desde oficina;Fase 2
3925;Riesgo despreciable desde oficina;Fase 2
4099;Riesgo despreciable desde oficina;Fase 2
4100;Riesgo despreciable desde oficina;Fase 2
4227;Riesgo despreciable desde oficina;Fase 2
4251;Riesgo despreciable desde oficina;Fase 2
4254;Riesgo despreciable desde oficina;Fase 2
4301;Riesgo despreciable desde oficina;Fase 2
5172;Riesgo despreciable desde oficina;Fase 2
5375;Riesgo no despreciable desde oficina;Fase 3
7076;Riesgo despreciable desde oficina;Fase 2
7418;Riesgo despreciable desde oficina;Fase 2
7433;Riesgo despreciable desde oficina;Fase 2
7459;Riesgo no despreciable desde oficina;Fase 3
7460;Riesgo despreciable desde oficina;Fase 2
7473;Riesgo despreciable desde oficina;Fase 2
