FARM ID;AT RISK OF DEFORESTATION
8012;NO
8013;NO
8014;NO
8022;NO
8023;NO
8024;NO
8027;NO
8028;NO
8030;SI 
8032;NO
8034_A;NO
8034_B;SI
8034_C;NO
8036_A;NO
8036_B;NO
8038;NO
8042;NO
8051;NO
8052;NO
8056;SI 
8057;NO
8058;SI 
8059;NO
8062;NO
8064;NO
8069;NO
8070;SI 
8071;NO
8073;NO
8075;NO
8077;NO
8078;NO
8080;NO
8081;NO
8082;NO
8083;NO
8086;NO
8087;NO
8088;NO
8089;NO
8090;NO
8094;NO
8095;NO
8096;NO
8097;NO
8098;NO
8119_A;NO
8119_B;NO
8125;NO
8127_A;NO
8127_B;NO
8127_C;NO
8130;NO
8131_A;NO
8131_B;NO
8131_C;NO
8131_D;NO
8131_E;NO
8134_A;NO
8134_B;NO
8134_C;NO
8134_D;NO
8134_E;NO
8134_F;NO
8137;NO
8153_A;NO
8153_B;NO
8153_C;SI
8153_D;NO
8153_E;SI
8153_F;NO
8171_A;NO
8171_B;NO
8171_C;NO
8172;NO
8173;NO
8174;NO
8176;NO
8177_A;NO
8177_B;NO
8179_A;NO
8179_B;SI 
8179_C;NO
8179_D;NO
8180;NO
8292;NO
8305;NO
8315;NO
8511_A;SI
8511_B;NO
8511_C;SI
8519_A;SI
8519_B;NO
8520_A;NO
8520_B;NO
8520_C;NO
8520_D;NO
12499;NO
12501;NO
12549;NO
12551;NO
12552;NO
12553;NO
12554;NO
12555;NO
12557;NO
12559;NO
12560;NO
12562;NO
12564;NO
12566;NO
12567;NO
12570;NO
12571;NO
12572;NO
12575;NO
12577;NO
12578;NO
12579;NO
12580;NO
12585;NO
12586;NO
12587;NO
12588;NO
12589;NO
12590;NO
12591;NO
12593;NO
12594;NO
12598;NO
12599;NO
12601;NO
12603;NO
12608;SI 
12610;NO
12611;NO
12612;NO
12613;NO
12614;NO
12615;NO
12617;NO
12618;NO
12620;NO
12621;NO
12622;NO
12623_A;NO
12623_B;NO
12624;NO
12626;NO
12628;NO
12629;NO
12631;NO
12632;NO
12633;NO
12634;NO
12635;NO
12636_A;NO
12636_B;NO
12637_A;NO
12637_B;NO
12638_A;NO
12638_B;NO
12639;NO
12640_A;NO
12640_B;NO
12642;NO
12643;NO
12644;NO
12645;NO
12646;NO
12647;NO
12648;NO
12649;NO
12650;NO
12656;NO
12658;NO
12659;NO
12781;NO
12817;NO
12929;NO
13070;NO
