Num_int;farm_id;Tecnico;map_date;Region;Nom_pol;area_pol;latitud;longitud
2770;2770_A;;XXXX;XXXX;XXXXX;0,4782590;XXXX;XXXX
2770;2770_B;;XXXX;XXXX;XXXXX;0,2517590;XXXX;XXXX
2644;2644_B;;XXXX;XXXX;XXXXX;0,6228370;XXXX;XXXX
2644;2644_A;;XXXX;XXXX;XXXXX;3,3903220;XXXX;XXXX
2640;2640;;XXXX;XXXX;XXXXX;10,3215910;XXXX;XXXX
2444;2444;;XXXX;XXXX;XXXXX;1,9916730;XXXX;XXXX
2133;2133_A;;XXXX;XXXX;XXXXX;2,4984040;XXXX;XXXX
2133;2133_B;;XXXX;XXXX;XXXXX;0,8683860;XXXX;XXXX
2130;2130_A;;XXXX;XXXX;XXXXX;1,4553510;XXXX;XXXX
2130;2130_B;;XXXX;XXXX;XXXXX;0,9181350;XXXX;XXXX
2130;2130_C;;XXXX;XXXX;XXXXX;0,9143390;XXXX;XXXX
1962;1962;;XXXX;XXXX;XXXXX;2,2992090;XXXX;XXXX
7580;7580_A;;XXXX;XXXX;XXXXX;3,3647570;XXXX;XXXX
7580;7580_B;;XXXX;XXXX;XXXXX;2,6423330;XXXX;XXXX
7577;7577_A;;XXXX;XXXX;XXXXX;2,1545420;XXXX;XXXX
7577;7577_B;;XXXX;XXXX;XXXXX;1,5149320;XXXX;XXXX
7577;7577_C;;XXXX;XXXX;XXXXX;0,8431350;XXXX;XXXX
7556;7556;;XXXX;XXXX;XXXXX;3,2289330;XXXX;XXXX
7552;7552;;XXXX;XXXX;XXXXX;5,2544230;XXXX;XXXX
7549;7549;;XXXX;XXXX;XXXXX;5,1404520;XXXX;XXXX
7541;7541;;XXXX;XXXX;XXXXX;3,5021700;XXXX;XXXX
7537;7537;;XXXX;XXXX;XXXXX;7,8346900;XXXX;XXXX
7511;7511;;XXXX;XXXX;XXXXX;9,3952230;XXXX;XXXX
7504;7504;;XXXX;XXXX;XXXXX;4,5603310;XXXX;XXXX
7418;7418;;XXXX;XXXX;XXXXX;4,9801890;XXXX;XXXX
7076;7076;;XXXX;XXXX;XXXXX;4,6556520;XXXX;XXXX
3884;3884;;XXXX;XXXX;XXXXX;2,4860540;XXXX;XXXX
3738;3738;;XXXX;XXXX;XXXXX;3,8234690;XXXX;XXXX
3424;3424_A;;XXXX;XXXX;XXXXX;2,7294660;XXXX;XXXX
3424;3424_B;;XXXX;XXXX;XXXXX;0,2060540;XXXX;XXXX
2746;2746;;XXXX;XXXX;XXXXX;3,3363580;XXXX;XXXX
2684;2684_A;;XXXX;XXXX;XXXXX;2,8400120;XXXX;XXXX
2684;2684_B;;XXXX;XXXX;XXXXX;0,3671920;XXXX;XXXX
2684;2684_C;;XXXX;XXXX;XXXXX;0,0548510;XXXX;XXXX
2315;2315;;XXXX;XXXX;XXXXX;7,1000640;XXXX;XXXX
7177;7177_A;;XXXX;XXXX;XXXXX;4,2830930;XXXX;XXXX
7177;7177_B;;XXXX;XXXX;XXXXX;1,8890070;XXXX;XXXX
12944;12944;;XXXX;XXXX;XXXXX;6,1922460;XXXX;XXXX
3866;3866;;XXXX;XXXX;XXXXX;9,3912080;XXXX;XXXX
3525;3525_A;;XXXX;XXXX;XXXXX;1,4909430;XXXX;XXXX
3525;3525_B;;XXXX;XXXX;XXXXX;0,9247230;XXXX;XXXX
3525;3525_C;;XXXX;XXXX;XXXXX;1,4644870;XXXX;XXXX
3337;3337_B;;XXXX;XXXX;XXXXX;0,5426230;XXXX;XXXX
3337;3337_A;;XXXX;XXXX;XXXXX;3,4316950;XXXX;XXXX
3121;3121_C;;XXXX;XXXX;XXXXX;0,7636640;XXXX;XXXX
3121;3121_B;;XXXX;XXXX;XXXXX;2,2365310;XXXX;XXXX
3121;3121_A;;XXXX;XXXX;XXXXX;1,7872730;XXXX;XXXX
2891;2891;;XXXX;XXXX;XXXXX;2,8009700;XXXX;XXXX
2880;2880;;XXXX;XXXX;XXXXX;5,1058000;XXXX;XXXX
12464;12464;;XXXX;XXXX;XXXXX;3,9775710;XXXX;XXXX
8167;8167_C;;XXXX;XXXX;XXXXX;3,7346560;XXXX;XXXX
8123;8123_A;;XXXX;XXXX;XXXXX;9,5677080;XXXX;XXXX
8123;8123_B;;XXXX;XXXX;XXXXX;5,3216430;XXXX;XXXX
8135;8135_D;;XXXX;XXXX;XXXXX;7,8004410;XXXX;XXXX
8135;8135_E;;XXXX;XXXX;XXXXX;0,7033000;XXXX;XXXX
8135;8135_C;;XXXX;XXXX;XXXXX;23,1498530;XXXX;XXXX
8135;8135_B;;XXXX;XXXX;XXXXX;9,5451280;XXXX;XXXX
8135;8135_A;;XXXX;XXXX;XXXXX;10,0771600;XXXX;XXXX
8143;8143_B;;XXXX;XXXX;XXXXX;7,9219230;XXXX;XXXX
8143;8143_C;;XXXX;XXXX;XXXXX;2,2679120;XXXX;XXXX
8143;8143_A;;XXXX;XXXX;XXXXX;2,8435140;XXXX;XXXX
8148;8148_A;;XXXX;XXXX;XXXXX;4,4633530;XXXX;XXXX
8148;8148_B;;XXXX;XXXX;XXXXX;8,2096100;XXXX;XXXX
8165;8165_B;;XXXX;XXXX;XXXXX;2,5075870;XXXX;XXXX
8165;8165_A;;XXXX;XXXX;XXXXX;3,3304350;XXXX;XXXX
8158;8158;;XXXX;XXXX;XXXXX;6,9092550;XXXX;XXXX
8161;8161_D;;XXXX;XXXX;XXXXX;4,5269310;XXXX;XXXX
8161;8161_C;;XXXX;XXXX;XXXXX;1,2804620;XXXX;XXXX
8161;8161_B;;XXXX;XXXX;XXXXX;2,4933610;XXXX;XXXX
8162;8162_B;;XXXX;XXXX;XXXXX;12,0721640;XXXX;XXXX
8162;8162_A;;XXXX;XXXX;XXXXX;5,7374730;XXXX;XXXX
8164;8164_A;;XXXX;XXXX;XXXXX;26,1533990;XXXX;XXXX
8164;8164_B;;XXXX;XXXX;XXXXX;0,4764910;XXXX;XXXX
8168;8168_D;;XXXX;XXXX;XXXXX;9,7468760;XXXX;XXXX
8168;8168_C;;XXXX;XXXX;XXXXX;3,4828580;XXXX;XXXX
8168;8168_B;;XXXX;XXXX;XXXXX;3,8990480;XXXX;XXXX
8168;8168_A;;XXXX;XXXX;XXXXX;9,1627630;XXXX;XXXX
8516;8516_C;;XXXX;XXXX;XXXXX;17,0958550;XXXX;XXXX
8161;8161_A;;XXXX;XXXX;XXXXX;4,8322980;XXXX;XXXX
